seq,timestamp_ns,msg_type,stock_locate,tracking_number,stock,order_ref,new_order_ref,side,shares,price,match_number,printable,attribution
52,34200005200000,A,1,0,AAPL,33,,S,100,1500800,,,
53,34200005300000,A,2,0,MSFT,42,,S,44,3800700,,,
54,34200005400000,D,6,0,,86,,,,,,,
55,34200005500000,A,5,0,AMZN,61,,S,100,1751100,,,
56,34200005600000,A,1,0,AAPL,41,,S,100,1500400,,,
57,34200005700000,A,5,0,AMZN,69,,B,400,1748700,,,
58,34200005800000,A,3,0,NVDA,75,,S,400,1200500,,,
59,34200005900000,A,8,0,F,56,,S,400,122300,,,
60,34200006000000,E,6,0,,22,,,100,,2,,
61,34200006100000,A,4,0,TSLA,92,,B,100,2498200,,,
62,34200006200000,A,1,0,AAPL,49,,B,400,1499600,,,
63,34200006300000,F,6,0,SPY,94,,S,1800,5001700,,,CDRG
64,34200006400000,D,4,0,,36,,,,,,,
65,34200006500000,A,8,0,F,64,,S,500,120400,,,
66,34200006600000,D,5,0,,13,,,,,,,
67,34200006700000,X,3,0,,27,,,30,,,,
68,34200006800000,A,5,0,AMZN,77,,B,300,1747800,,,
69,34200006900000,F,4,0,TSLA,100,,S,1500,2500300,,,EDGX
70,34200007000000,X,4,0,,68,,,86,,,,
71,34200007100000,D,6,0,,94,,,,,,,
72,34200007200000,A,5,0,AMZN,85,,S,400,1751800,,,
73,34200007300000,A,7,0,GME,47,,B,400,249400,,,
74,34200007400000,X,4,0,,84,,,57,,,,
75,34200007500000,A,3,0,NVDA,83,,S,200,1201900,,,
76,34200007600000,D,3,0,,27,,,,,,,
77,34200007700000,A,6,0,SPY,102,,B,100,4999600,,,
78,34200007800000,A,7,0,GME,55,,S,100,250500,,,
79,34200007900000,U,5,0,,37,93,,1700,1747400,,,
80,34200008000000,A,6,0,SPY,110,,B,1100,4999300,,,
81,34200008100000,E,4,0,,68,,,200,,3,,
82,34200008200000,A,5,0,AMZN,101,,B,200,1749600,,,
83,34200008300000,A,4,0,TSLA,108,,B,200,2498700,,,
84,34200008400000,U,4,0,,68,116,,400,2500300,,,
85,34200008500000,U,4,0,,116,124,,400,2500300,,,
86,34200008600000,A,7,0,GME,63,,S,100,250300,,,
87,34200008700000,A,6,0,SPY,118,,B,93,4999500,,,
88,34200008800000,D,3,0,,43,,,,,,,
89,34200008900000,F,1,0,AAPL,57,,S,100,1500400,,,ARCA
90,34200009000000,E,5,0,,21,,,100,,4,,
91,34200009100000,A,8,0,F,72,,S,200,121900,,,
92,34200009200000,C,3,0,,75,,,400,1200600,5,Y,
93,34200009300000,A,3,0,NVDA,91,,S,200,1201900,,,
94,34200009400000,A,6,0,SPY,126,,S,100,5001400,,,
95,34200009500000,A,7,0,GME,71,,B,100,249400,,,
96,34200009600000,E,6,0,,30,,,300,,6,,
97,34200009700000,A,1,0,AAPL,65,,S,100,1502200,,,
98,34200009800000,A,4,0,TSLA,132,,B,200,2499500,,,
99,34200009900000,D,5,0,,93,,,,,,,
100,34200010000000,E,3,0,,35,,,100,,7,,
101,34200010100000,A,3,0,NVDA,99,,S,200,1200500,,,
102,34200010200000,A,7,0,GME,79,,S,1900,250200,,,
103,34200010300000,E,4,0,,100,,,1500,,8,,
104,34200010400000,F,3,0,NVDA,107,,S,100,1200500,,,BATS
105,34200010500000,A,4,0,TSLA,140,,B,100,2498600,,,
106,34200010600000,E,7,0,,47,,,400,,9,,
107,34200010700000,E,5,0,,101,,,200,,10,,
108,34200010800000,F,2,0,MSFT,50,,S,1200,3802000,,,BATS
109,34200010900000,E,3,0,,59,,,100,,11,,
110,34200011000000,E,3,0,,67,,,400,,12,,
111,34200011100000,X,1,0,,9,,,36,,,,
112,34200011200000,E,7,0,,71,,,100,,13,,
113,34200011300000,E,6,0,,30,,,100,,14,,
114,34200011400000,D,6,0,,102,,,,,,,
115,34200011500000,A,7,0,GME,87,,B,1800,249100,,,
116,34200011600000,A,1,0,AAPL,73,,B,400,1498100,,,
117,34200011700000,A,6,0,SPY,134,,S,1100,5001200,,,
118,34200011800000,A,4,0,TSLA,148,,S,100,2500300,,,
119,34200011900000,A,3,0,NVDA,115,,B,100,1198900,,,
120,34200012000000,A,3,0,NVDA,123,,S,400,1200500,,,
121,34200012100000,A,1,0,AAPL,81,,S,200,1501400,,,
122,34200012200000,D,4,0,,28,,,,,,,
123,34200012300000,A,1,0,AAPL,89,,S,100,1500400,,,
124,34200012400000,E,4,0,,148,,,100,,15,,
125,34200012500000,D,4,0,,76,,,,,,,
126,34200012600000,A,6,0,SPY,142,,S,100,5001000,,,
127,34200012700000,E,7,0,,79,,,1900,,16,,
128,34200012800000,A,7,0,GME,95,,B,400,248900,,,
129,34200012900000,E,4,0,,124,,,100,,17,,
130,34200013000000,D,6,0,,46,,,,,,,
131,34200013100000,A,4,0,TSLA,156,,B,400,2499500,,,
132,34200013200000,A,6,0,SPY,150,,S,100,5000400,,,
133,34200013300000,D,3,0,,83,,,,,,,
134,34200013400000,A,6,0,SPY,158,,S,100,5002800,,,
135,34200013500000,A,2,0,MSFT,58,,S,900,3800900,,,
136,34200013600000,D,4,0,,124,,,,,,,
137,34200013700000,D,7,0,,95,,,,,,,
138,34200013800000,A,2,0,MSFT,66,,S,100,3800400,,,
139,34200013900000,A,5,0,AMZN,109,,S,400,1750300,,,
140,34200014000000,A,6,0,SPY,166,,S,100,5000400,,,
141,34200014100000,A,3,0,NVDA,131,,B,300,1199300,,,
142,34200014200000,E,1,0,,49,,,100,,18,,
143,34200014300000,C,3,0,,123,,,100,1200700,19,Y,
144,34200014400000,F,7,0,GME,103,,S,400,250200,,,BATS
145,34200014500000,E,1,0,,41,,,100,,20,,
146,34200014600000,A,3,0,NVDA,139,,B,100,1199700,,,
147,34200014700000,E,4,0,,52,,,500,,21,,
148,34200014800000,A,7,0,GME,111,,S,100,250500,,,
149,34200014900000,A,3,0,NVDA,147,,B,300,1198500,,,
150,34200015000000,A,4,0,TSLA,164,,S,500,2501300,,,
151,34200015100000,E,5,0,,53,,,100,,22,,
152,34200015200000,A,3,0,NVDA,155,,B,100,1197600,,,
153,34200015300000,A,6,0,SPY,174,,B,72,4999400,,,
154,34200015400000,U,6,0,,150,182,,500,5000400,,,
155,34200015500000,D,8,0,,64,,,,,,,
156,34200015600000,E,4,0,,164,,,100,,23,,
157,34200015700000,A,3,0,NVDA,163,,B,100,1198700,,,
158,34200015800000,E,7,0,,39,,,100,,24,,
159,34200015900000,A,5,0,AMZN,117,,B,1700,1749500,,,
160,34200016000000,A,1,0,AAPL,97,,B,1100,1499500,,,
161,34200016100000,A,2,0,MSFT,74,,S,100,3800600,,,
162,34200016200000,E,2,0,,10,,,100,,25,,
163,34200016300000,E,7,0,,103,,,300,,26,,
164,34200016400000,A,2,0,MSFT,82,,B,100,3798100,,,
165,34200016500000,U,2,0,,50,90,,300,3800400,,,
166,34200016600000,E,1,0,,89,,,100,,27,,
167,34200016700000,E,7,0,,87,,,900,,28,,
168,34200016800000,D,4,0,,156,,,,,,,
169,34200016900000,E,1,0,,49,,,300,,29,,
170,34200017000000,A,4,0,TSLA,172,,B,100,2499500,,,
171,34200017100000,C,7,0,,87,,,400,249000,30,N,
172,34200017200000,E,4,0,,20,,,1700,,31,,
173,34200017300000,A,4,0,TSLA,180,,S,100,2500300,,,
174,34200017400000,D,7,0,,103,,,,,,,
175,34200017500000,D,4,0,,140,,,,,,,
176,34200017600000,C,2,0,,34,,,100,3800700,32,Y,
177,34200017700000,F,4,0,TSLA,188,,B,100,2499400,,,BATS
178,34200017800000,A,4,0,TSLA,196,,B,500,2499500,,,
179,34200017900000,D,5,0,,109,,,,,,,
180,34200018000000,A,5,0,AMZN,125,,S,100,1750300,,,
181,34200018100000,A,6,0,SPY,190,,S,100,5000500,,,
182,34200018200000,D,6,0,,134,,,,,,,
183,34200018300000,E,1,0,,57,,,100,,33,,
184,34200018400000,D,4,0,,132,,,,,,,
185,34200018500000,A,7,0,GME,119,,B,100,247700,,,
186,34200018600000,E,4,0,,180,,,100,,34,,
187,34200018700000,D,5,0,,61,,,,,,,
188,34200018800000,A,2,0,MSFT,98,,S,100,3801200,,,
189,34200018900000,U,7,0,,23,127,,500,250200,,,
190,34200019000000,A,7,0,GME,135,,B,100,249400,,,
191,34200019100000,A,8,0,F,80,,B,300,119600,,,
192,34200019200000,A,6,0,SPY,198,,S,300,5001500,,,
193,34200019300000,A,4,0,TSLA,204,,S,100,2501000,,,
194,34200019400000,U,7,0,,111,143,,100,250200,,,
195,34200019500000,E,7,0,,127,,,300,,35,,
196,34200019600000,A,6,0,SPY,206,,S,100,5000400,,,
197,34200019700000,A,4,0,TSLA,212,,S,100,2500300,,,
198,34200019800000,A,6,0,SPY,214,,S,200,5000400,,,
199,34200019900000,E,3,0,,123,,,300,,36,,
200,34200020000000,A,2,0,MSFT,106,,B,100,3798400,,,
201,34200020100000,A,6,0,SPY,222,,B,300,4998500,,,
202,34200020200000,A,6,0,SPY,230,,S,100,5000500,,,
203,34200020300000,A,7,0,GME,151,,S,100,250900,,,
204,34200020400000,E,4,0,,172,,,100,,37,,
205,34200020500000,D,7,0,,119,,,,,,,
206,34200020600000,A,6,0,SPY,238,,S,1500,5000400,,,
207,34200020700000,C,3,0,,139,,,100,1199600,38,Y,
208,34200020800000,A,6,0,SPY,246,,S,100,5002700,,,
209,34200020900000,A,6,0,SPY,254,,B,500,4998000,,,
210,34200021000000,A,1,0,AAPL,105,,S,100,1500500,,,
211,34200021100000,E,3,0,,99,,,100,,39,,
212,34200021200000,A,2,0,MSFT,114,,S,100,3802000,,,
213,34200021300000,A,6,0,SPY,262,,S,200,5001300,,,
214,34200021400000,D,4,0,,196,,,,,,,
215,34200021500000,D,3,0,,107,,,,,,,
216,34200021600000,A,5,0,AMZN,133,,S,100,1750300,,,
217,34200021700000,X,7,0,,55,,,99,,,,
218,34200021800000,E,5,0,,125,,,100,,40,,
219,34200021900000,A,8,0,F,88,,S,100,120600,,,
220,34200022000000,D,1,0,,73,,,,,,,
221,34200022100000,A,7,0,GME,159,,S,700,250400,,,
222,34200022200000,A,7,0,GME,167,,B,100,249600,,,
223,34200022300000,E,6,0,,38,,,900,,41,,
224,34200022400000,D,3,0,,99,,,,,,,
225,34200022500000,A,5,0,AMZN,141,,S,14,1752300,,,
226,34200022600000,A,1,0,AAPL,113,,B,100,1497800,,,
227,34200022700000,A,5,0,AMZN,149,,S,400,1751300,,,
228,34200022800000,A,3,0,NVDA,171,,S,100,1201100,,,
229,34200022900000,A,4,0,TSLA,220,,S,1100,2500200,,,
230,34200023000000,A,4,0,TSLA,228,,B,100,2499400,,,
231,34200023100000,A,6,0,SPY,270,,B,500,4999400,,,
232,34200023200000,D,7,0,,135,,,,,,,
233,34200023300000,A,7,0,GME,175,,B,100,249600,,,
234,34200023400000,A,2,0,MSFT,122,,S,1900,3800500,,,
235,34200023500000,D,6,0,,190,,,,,,,
236,34200023600000,D,7,0,,63,,,,,,,
237,34200023700000,E,4,0,,84,,,43,,42,,
238,34200023800000,X,6,0,,230,,,65,,,,
239,34200023900000,A,3,0,NVDA,179,,S,100,1200700,,,
240,34200024000000,F,8,0,F,96,,S,100,121400,,,BATS
241,34200024100000,A,4,0,TSLA,236,,S,1000,2500200,,,
242,34200024200000,E,4,0,,228,,,100,,43,,
243,34200024300000,E,5,0,,133,,,100,,44,,
244,34200024400000,A,3,0,NVDA,187,,B,100,1199900,,,
245,34200024500000,D,5,0,,85,,,,,,,
246,34200024600000,A,1,0,AAPL,121,,S,200,1502500,,,
247,34200024700000,D,1,0,,121,,,,,,,
248,34200024800000,D,4,0,,236,,,,,,,
249,34200024900000,D,8,0,,24,,,,,,,
250,34200025000000,D,7,0,,151,,,,,,,
251,34200025100000,A,5,0,AMZN,157,,S,300,1750500,,,
252,34200025200000,E,8,0,,80,,,300,,45,,
253,34200025300000,A,4,0,TSLA,244,,S,100,2500200,,,
254,34200025400000,F,1,0,AAPL,129,,S,100,1500500,,,IEXG
255,34200025500000,E,3,0,,51,,,400,,46,,
256,34200025600000,A,8,0,F,104,,B,100,119500,,,
257,34200025700000,U,3,0,,131,195,,100,1198700,,,
258,34200025800000,D,6,0,,254,,,,,,,
259,34200025900000,A,5,0,AMZN,165,,B,100,1747400,,,
260,34200026000000,A,7,0,GME,183,,B,100,249600,,,
261,34200026100000,E,4,0,,188,,,100,,47,,
262,34200026200000,A,4,0,TSLA,252,,B,100,2498000,,,
263,34200026300000,D,7,0,,87,,,,,,,
264,34200026400000,A,7,0,GME,191,,S,100,251800,,,
265,34200026500000,E,4,0,,108,,,200,,48,,
266,34200026600000,A,5,0,AMZN,173,,S,900,1750300,,,
267,34200026700000,A,3,0,NVDA,203,,S,400,1202000,,,
268,34200026800000,A,8,0,F,112,,S,400,121400,,,
269,34200026900000,D,6,0,,206,,,,,,,
270,34200027000000,D,3,0,,171,,,,,,,
271,34200027100000,E,6,0,,38,,,300,,49,,
272,34200027200000,E,3,0,,179,,,100,,50,,
273,34200027300000,D,7,0,,143,,,,,,,
274,34200027400000,A,4,0,TSLA,260,,B,100,2498800,,,
275,34200027500000,A,7,0,GME,199,,B,100,249400,,,
276,34200027600000,E,5,0,,173,,,100,,51,,
277,34200027700000,A,5,0,AMZN,181,,S,100,1750300,,,
278,34200027800000,A,8,0,F,120,,B,100,119300,,,
279,34200027900000,X,4,0,,164,,,100,,,,
280,34200028000000,E,7,0,,167,,,100,,52,,
281,34200028100000,A,5,0,AMZN,189,,S,100,1750300,,,
282,34200028200000,E,5,0,,117,,,1400,,53,,
283,34200028300000,A,5,0,AMZN,197,,B,100,1749500,,,
284,34200028400000,D,6,0,,246,,,,,,,
285,34200028500000,A,4,0,TSLA,268,,S,100,2502500,,,
286,34200028600000,D,5,0,,141,,,,,,,
287,34200028700000,A,6,0,SPY,278,,S,100,5002300,,,
288,34200028800000,D,3,0,,203,,,,,,,
289,34200028900000,A,7,0,GME,207,,S,300,250400,,,
290,34200029000000,E,1,0,,105,,,100,,54,,
291,34200029100000,A,8,0,F,128,,B,400,118700,,,
292,34200029200000,E,4,0,,220,,,1000,,55,,
293,34200029300000,U,3,0,,19,211,,100,1200700,,,
294,34200029400000,A,7,0,GME,215,,S,100,250400,,,
295,34200029500000,A,1,0,AAPL,137,,B,1700,1497500,,,
296,34200029600000,A,4,0,TSLA,276,,S,100,2500200,,,
297,34200029700000,A,5,0,AMZN,205,,S,400,1750300,,,
298,34200029800000,E,7,0,,183,,,100,,56,,
299,34200029900000,E,5,0,,197,,,100,,57,,
300,34200030000000,E,1,0,,129,,,100,,58,,
301,34200030100000,E,6,0,,238,,,1500,,59,,
302,34200030200000,A,3,0,NVDA,219,,S,500,1203000,,,
303,34200030300000,A,3,0,NVDA,227,,B,100,1200200,,,
304,34200030400000,A,5,0,AMZN,213,,S,100,1751200,,,
305,34200030500000,E,8,0,,16,,,100,,60,,
306,34200030600000,D,4,0,,260,,,,,,,
307,34200030700000,X,7,0,,207,,,46,,,,
308,34200030800000,E,3,0,,227,,,100,,61,,
309,34200030900000,A,5,0,AMZN,221,,S,100,1750300,,,
310,34200031000000,A,6,0,SPY,286,,B,100,4999600,,,
311,34200031100000,E,3,0,,211,,,100,,62,,
312,34200031200000,D,4,0,,268,,,,,,,
313,34200031300000,A,3,0,NVDA,235,,S,300,1202800,,,
314,34200031400000,A,3,0,NVDA,243,,B,200,1198500,,,
315,34200031500000,A,7,0,GME,223,,B,100,247200,,,
316,34200031600000,E,4,0,,92,,,100,,63,,
317,34200031700000,D,5,0,,149,,,,,,,
318,34200031800000,A,4,0,TSLA,284,,B,1000,2497600,,,
319,34200031900000,A,1,0,AAPL,145,,S,400,1502800,,,
320,34200032000000,U,3,0,,115,251,,100,1199200,,,
321,34200032100000,D,7,0,,223,,,,,,,
322,34200032200000,A,7,0,GME,231,,B,100,249200,,,
323,34200032300000,A,6,0,SPY,294,,B,500,4999600,,,
324,34200032400000,A,4,0,TSLA,292,,B,200,2499100,,,
325,34200032500000,D,7,0,,215,,,,,,,
326,34200032600000,E,6,0,,62,,,100,,64,,
327,34200032700000,E,5,0,,117,,,100,,65,,
328,34200032800000,A,3,0,NVDA,259,,B,100,1200200,,,
329,34200032900000,F,4,0,TSLA,300,,B,58,2499000,,,BATS
330,34200033000000,D,6,0,,110,,,,,,,
331,34200033100000,A,8,0,F,136,,B,100,119600,,,
332,34200033200000,X,3,0,,11,,,82,,,,
333,34200033300000,E,4,0,,292,,,100,,66,,
334,34200033400000,A,5,0,AMZN,229,,B,100,1749400,,,
335,34200033500000,D,7,0,,207,,,,,,,
336,34200033600000,D,8,0,,72,,,,,,,
337,34200033700000,E,6,0,,294,,,300,,67,,
338,34200033800000,A,6,0,SPY,302,,S,500,5000500,,,
339,34200033900000,A,6,0,SPY,310,,B,100,4998700,,,
340,34200034000000,A,4,0,TSLA,308,,B,200,2499200,,,
341,34200034100000,D,6,0,,198,,,,,,,
342,34200034200000,D,5,0,,181,,,,,,,
343,34200034300000,E,7,0,,175,,,100,,68,,
344,34200034400000,A,6,0,SPY,318,,S,100,5000900,,,
345,34200034500000,D,5,0,,205,,,,,,,
346,34200034600000,A,4,0,TSLA,316,,S,100,2501000,,,
347,34200034700000,A,4,0,TSLA,324,,B,100,2498100,,,
348,34200034800000,E,6,0,,294,,,100,,69,,
349,34200034900000,A,7,0,GME,239,,B,100,249000,,,
350,34200035000000,C,2,0,,90,,,200,3800600,70,N,
351,34200035100000,A,5,0,AMZN,237,,B,100,1749500,,,
352,34200035200000,A,5,0,AMZN,245,,B,200,1747800,,,
353,34200035300000,A,3,0,NVDA,267,,B,100,1200200,,,
354,34200035400000,A,1,0,AAPL,153,,B,500,1499700,,,
355,34200035500000,D,4,0,,220,,,,,,,
356,34200035600000,D,4,0,,252,,,,,,,
357,34200035700000,A,5,0,AMZN,253,,B,100,1749400,,,
358,34200035800000,A,4,0,TSLA,332,,B,100,2498700,,,
359,34200035900000,E,3,0,,259,,,100,,71,,
360,34200036000000,F,7,0,GME,247,,B,100,249300,,,BATS
361,34200036100000,A,6,0,SPY,326,,B,1700,4998400,,,
362,34200036200000,C,3,0,,91,,,200,1202200,72,Y,
363,34200036300000,A,3,0,NVDA,275,,S,100,1201000,,,
364,34200036400000,D,4,0,,292,,,,,,,
365,34200036500000,E,4,0,,244,,,100,,73,,
366,34200036600000,A,6,0,SPY,334,,B,300,4999200,,,
367,34200036700000,A,3,0,NVDA,283,,S,300,1201000,,,
368,34200036800000,A,7,0,GME,255,,B,100,248800,,,
369,34200036900000,A,7,0,GME,263,,S,100,250200,,,
370,34200037000000,A,7,0,GME,271,,S,500,250100,,,
371,34200037100000,D,6,0,,54,,,,,,,
372,34200037200000,A,1,0,AAPL,161,,B,900,1497700,,,
373,34200037300000,E,4,0,,308,,,100,,74,,
374,34200037400000,D,5,0,,237,,,,,,,
375,34200037500000,A,6,0,SPY,342,,B,100,4999400,,,
376,34200037600000,E,2,0,,90,,,100,,75,,
377,34200037700000,A,4,0,TSLA,340,,B,100,2498100,,,
378,34200037800000,D,5,0,,245,,,,,,,
379,34200037900000,A,5,0,AMZN,261,,B,37,1749500,,,
380,34200038000000,A,2,0,MSFT,130,,B,100,3799400,,,
381,34200038100000,D,8,0,,136,,,,,,,
382,34200038200000,F,1,0,AAPL,169,,S,100,1500800,,,ARCA
383,34200038300000,F,5,0,AMZN,269,,S,100,1750500,,,BATS
384,34200038400000,D,7,0,,247,,,,,,,
385,34200038500000,D,5,0,,77,,,,,,,
386,34200038600000,A,4,0,TSLA,348,,B,100,2497400,,,
387,34200038700000,A,6,0,SPY,350,,S,700,5000400,,,
388,34200038800000,D,5,0,,157,,,,,,,
389,34200038900000,A,4,0,TSLA,356,,B,200,2499000,,,
390,34200039000000,D,4,0,,164,,,,,,,
391,34200039100000,A,5,0,AMZN,277,,B,100,1749300,,,
392,34200039200000,C,7,0,,199,,,100,249200,76,Y,
393,34200039300000,A,4,0,TSLA,364,,B,100,2499400,,,
394,34200039400000,A,1,0,AAPL,177,,B,400,1499700,,,
395,34200039500000,A,4,0,TSLA,372,,B,100,2498700,,,
396,34200039600000,A,2,0,MSFT,138,,B,100,3799200,,,
397,34200039700000,D,1,0,,81,,,,,,,
398,34200039800000,D,2,0,,18,,,,,,,
399,34200039900000,A,5,0,AMZN,285,,B,1500,1748400,,,
400,34200040000000,A,7,0,GME,279,,S,100,250100,,,
401,34200040100000,E,5,0,,221,,,100,,77,,
402,34200040200000,A,4,0,TSLA,380,,S,100,2502100,,,
403,34200040300000,A,4,0,TSLA,388,,B,500,2499100,,,
404,34200040400000,A,4,0,TSLA,396,,S,400,2500600,,,
405,34200040500000,D,4,0,,356,,,,,,,
406,34200040600000,D,4,0,,300,,,,,,,
407,34200040700000,A,2,0,MSFT,146,,S,100,3800700,,,
408,34200040800000,A,4,0,TSLA,404,,S,100,2500400,,,
409,34200040900000,D,3,0,,251,,,,,,,
410,34200041000000,A,6,0,SPY,358,,B,100,4999700,,,
411,34200041100000,F,4,0,TSLA,412,,S,200,2500300,,,BATS
412,34200041200000,E,7,0,,271,,,200,,78,,
413,34200041300000,D,8,0,,32,,,,,,,
414,34200041400000,A,6,0,SPY,366,,S,100,5000300,,,
415,34200041500000,A,6,0,SPY,374,,S,100,5000900,,,
416,34200041600000,A,7,0,GME,287,,B,54,249500,,,
417,34200041700000,D,3,0,,163,,,,,,,
418,34200041800000,D,4,0,,308,,,,,,,
419,34200041900000,A,6,0,SPY,382,,S,100,5001500,,,
420,34200042000000,A,8,0,F,144,,B,100,119200,,,
421,34200042100000,E,2,0,,130,,,100,,79,,
422,34200042200000,E,3,0,,275,,,100,,80,,
423,34200042300000,A,7,0,GME,295,,B,1200,249500,,,
424,34200042400000,D,3,0,,11,,,,,,,
425,34200042500000,D,4,0,,412,,,,,,,
426,34200042600000,A,3,0,NVDA,291,,B,200,1200100,,,
427,34200042700000,X,6,0,,158,,,20,,,,
428,34200042800000,A,4,0,TSLA,420,,S,400,2500200,,,
429,34200042900000,X,7,0,,295,,,462,,,,
430,34200043000000,D,3,0,,187,,,,,,,
431,34200043100000,A,6,0,SPY,390,,S,100,5002300,,,
432,34200043200000,E,5,0,,117,,,200,,81,,
433,34200043300000,A,4,0,TSLA,428,,S,100,2500300,,,
434,34200043400000,A,5,0,AMZN,293,,B,100,1747600,,,
435,34200043500000,A,4,0,TSLA,436,,S,100,2500700,,,
436,34200043600000,A,2,0,MSFT,154,,S,100,3802000,,,
437,34200043700000,A,4,0,TSLA,444,,B,200,2497200,,,
438,34200043800000,A,8,0,F,152,,S,78,120300,,,
439,34200043900000,E,4,0,,364,,,100,,82,,
440,34200044000000,A,1,0,AAPL,185,,B,200,1499800,,,
441,34200044100000,D,3,0,,155,,,,,,,
442,34200044200000,X,4,0,,404,,,13,,,,
443,34200044300000,A,7,0,GME,303,,B,400,248700,,,
444,34200044400000,A,1,0,AAPL,193,,B,200,1499700,,,
445,34200044500000,D,3,0,,291,,,,,,,
446,34200044600000,D,1,0,,193,,,,,,,
447,34200044700000,E,6,0,,358,,,100,,83,,
448,34200044800000,A,7,0,GME,311,,S,100,252500,,,
449,34200044900000,X,4,0,,388,,,392,,,,
450,34200045000000,F,3,0,NVDA,299,,S,100,1201900,,,IEXG
451,34200045100000,A,1,0,AAPL,201,,S,100,1500600,,,
452,34200045200000,D,5,0,,173,,,,,,,
453,34200045300000,X,3,0,,147,,,234,,,,
454,34200045400000,D,4,0,,428,,,,,,,
455,34200045500000,E,5,0,,189,,,100,,84,,
456,34200045600000,E,1,0,,201,,,100,,85,,
457,34200045700000,E,7,0,,287,,,54,,86,,
458,34200045800000,D,3,0,,235,,,,,,,
459,34200045900000,A,5,0,AMZN,301,,B,200,1748400,,,
460,34200046000000,D,7,0,,231,,,,,,,
461,34200046100000,A,4,0,TSLA,452,,B,100,2499400,,,
462,34200046200000,E,2,0,,138,,,100,,87,,
463,34200046300000,A,3,0,NVDA,307,,S,100,1200700,,,
464,34200046400000,E,7,0,,271,,,100,,88,,
465,34200046500000,A,7,0,GME,319,,S,13,251800,,,
466,34200046600000,A,7,0,GME,327,,S,400,250100,,,
467,34200046700000,A,5,0,AMZN,309,,B,1300,1749600,,,
468,34200046800000,A,4,0,TSLA,460,,B,100,2499500,,,
469,34200046900000,D,3,0,,147,,,,,,,
